City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
208,longyearbyen,78.2186,15.6401,274.06,69,40,9.26,SJ,1715239858
209,uturoa,-16.7333,-151.4333,301.03,74,75,5.81,PF,1715239858
210,muroto-misakicho,33.2833,134.15,290.45,50,0,3.14,JP,1715239858
211,porto novo,6.4965,2.6036,301.05,65,98,3.18,BJ,1715239858
212,talnakh,69.4865,88.3972,266.6,81,15,1.69,RU,1715239859
213,luxeuil-les-bains,47.8171,6.365,285.0,87,0,0.51,FR,1715239859
214,port lincoln,-34.7333,135.8667,289.12,70,0,4.39,AU,1715239859
215,san patricio,28.017,-97.5169,300.84,97,95,3.12,US,1715239859
216,east london,-33.0153,27.9116,293.67,88,20,2.57,ZA,1715239859
217,crane,31.3974,-102.3501,297.93,15,19,4.57,US,1715239860
218,palapag,12.5458,125.1147,303.02,66,100,3.65,PH,1715239860
219,tuy hoa,13.0833,109.3,304.36,62,74,4.92,VN,1715239860
220,abra pampa,-22.7205,-65.697,279.49,88,1,5.5,AR,1715239860
221,hemsby,52.6971,1.6918,288.36,79,100,3.81,GB,1715239860
222,vilyuysk,63.7553,121.6247,269.26,95,100,4.02,RU,1715239861
223,buka,40.8108,69.1986,306.53,25,94,5.25,UZ,1715239861
224,ciudad constitucion,25.0369,-111.6644,288.01,91,0,3.52,MX,1715239861
225,nagqu,31.5,92.0,276.97,64,100,5.12,CN,1715239861
226,mazagao,-0.115,-51.2894,299.18,98,98,1.02,BR,1715239861
227,santa caterina villarmosa,37.5911,14.0363,286.41,94,100,5.83,IT,1715239862
228,beloyarskiy,63.7119,66.6722,273.71,99,100,4.47,RU,1715239862
229,santa elena de uairen,4.6167,-61.1333,292.63,94,56,0.74,VE,1715239862
230,tsiombe,-25.3,45.4833,301.45,45,0,2.99,MG,1715239862
231,sao tome,0.3365,6.7273,301.17,89,75,5.14,ST,1715239862
232,shache,38.4167,77.2406,306.42,9,0,2.16,CN,1715239863
233,hilo,19.7297,-155.09,294.96,96,40,2.06,US,1715239863
234,sept-iles,50.2001,-66.3821,277.44,70,75,4.12,CA,1715239863
235,happy valley-goose bay,53.3168,-60.3315,273.32,74,100,2.06,CA,1715239863
236,gulf shores,30.246,-87.7008,300.56,79,100,5.14,US,1715239863
237,miraflores de la sierra,40.8155,-3.7621,287.2,65,100,1.4,ES,1715239863
238,jamestown,42.097,-79.2353,282.92,100,75,4.12,US,1715239864
239,warangal,18.0,79.5833,310.79,33,1,3.94,IN,1715239864
240,ibeto,10.4854,5.145,304.67,53,51,3.01,NG,1715239864
241,lubango,-14.9172,13.4925,296.07,64,37,2.06,AO,1715239864
242,mglin,53.0591,32.8475,277.99,34,19,4.55,RU,1715239864
243,coahuayana de hidalgo,18.7,-103.6583,293.51,94,9,1.13,MX,1715239865
244,prince rupert,54.3161,-130.3201,283.2,79,100,6.17,CA,1715239865
245,sinabang,2.4803,96.3801,303.26,73,37,0.75,ID,1715239865
246,nar'yan-mar,67.6713,53.087,268.21,88,100,7.15,RU,1715239865
247,luena,-11.7833,19.9167,296.25,56,15,4.63,AO,1715239865
248,constantia,44.1833,28.65,288.54,72,100,8.36,RO,1715239865
249,praia da vitoria,38.7333,-27.0667,288.29,88,20,4.05,PT,1715239866
250,valparaiso,-33.0393,-71.6273,282.12,87,0,2.06,CL,1715239866
251,castillos,-34.1667,-53.8333,281.23,79,0,2.84,UY,1715239866
252,saldanha,-33.0117,17.9442,286.18,68,0,1.52,ZA,1715239866
253,micheweni,-4.9667,39.8333,300.49,80,100,6.21,TZ,1715239866
254,kulhudhuffushi,6.6221,73.07,303.03,74,99,4.74,MV,1715239867
255,kruisfontein,-34.0033,24.7314,291.97,63,0,1.89,ZA,1715239867
256,bamboo flat,11.7,92.7167,307.2,62,40,4.63,IN,1715239867
257,gerash,27.6652,54.1371,302.23,12,0,7.13,IR,1715239867
258,san juan de miraflores,-12.1629,-76.9635,292.13,84,100,2.88,PE,1715239867
259,hasaki,35.7333,140.8333,289.42,63,66,6.28,JP,1715239868
260,labasa,-16.4167,179.3833,295.32,78,27,3.39,FJ,1715239868
261,hargeysa,9.56,44.065,300.54,49,80,5.55,SO,1715239580
262,yemetsk,63.4721,41.7941,272.36,87,100,6.99,RU,1715239868
263,howard springs,-12.497,131.047,306.47,63,66,3.04,AU,1715239868
264,kyosai,34.8503,128.5886,293.13,71,0,4.78,KR,1715239868
265,fukuecho,32.6881,128.8419,292.35,59,20,5.66,JP,1715239869
266,petropavlovsk-kamchatsky,53.0452,158.6483,282.48,67,75,10.0,RU,1715239869
267,pauri,30.15,78.7833,302.97,33,6,4.17,IN,1715239869
268,totness,5.8833,-56.3167,298.78,87,96,4.41,SR,1715239869
269,lazaro cardenas,17.9583,-102.2,296.08,87,30,1.23,MX,1715239869
270,nizhnekamsk,55.6366,51.8245,277.59,56,75,5.0,RU,1715239870
271,calbuco,-41.768,-73.1273,281.71,77,100,4.71,CL,1715239870
272,enewetak,11.3474,162.3373,300.59,80,87,9.32,MH,1715239870
273,trindade,-16.6494,-49.4889,291.01,75,2,1.98,BR,1715239870
274,ketchikan,55.3422,-131.6461,282.41,87,100,4.63,US,1715239870
275,northam,51.0333,-4.2167,286.82,93,97,1.98,GB,1715239870
276,pukchil-lodongjagu,40.2019,125.7483,292.31,53,66,2.74,KP,1715239871
277,riosucio,5.4216,-75.7032,289.26,100,100,0.24,CO,1715239871
